Word	POS	Level
a	determiner	a1
abandon	verb	b2
ability	noun	a2
able	adjective	a2
abolish	verb	c1
abortion	noun	c1
about	preposition	a1
about	adverb	a1
above	preposition	a1
above	adverb	a1
abroad	adverb	a2
absence	noun	c1
absent	adjective	c1
absolute	adjective	b2
absolutely	adverb	b1
absorb	verb	b2
abstract	adjective	b2
absurd	adjective	c1
abundance	noun	c1
abuse	noun	c1
abuse	verb	c1
academic	adjective	b1
academic	noun	b2
academy	noun	c1
accelerate	verb	c1
accent	noun	b2
accept	verb	a2
acceptable	adjective	b2
acceptance	noun	c1
access	noun	b1
access	verb	b1
accessible	adjective	c1
accident	noun	a2
accidentally	adverb	b2
accommodate	verb	b2
accommodation	noun	b1
accompany	verb	b2
accomplish	verb	b2
accomplishment	noun	c1
accordance	noun	c1
according to	preposition	a2
accordingly	adverb	c1
account	noun	b1
account	verb	b2
accountability	noun	c1
accountable	adjective	c1
accountant	noun	b2
accounting	noun	b2
accumulate	verb	c1
accumulation	noun	c1
accuracy	noun	b2
accurate	adjective	b2
accurately	adverb	b2
accusation	noun	c1
accuse	verb	b2
accused	noun	c1
achieve	verb	a2
achievement	noun	b1
acid	adjective	c1
acid	noun	b2
acknowledge	verb	b2
acquire	verb	b2
acquisition	noun	c1
acre	noun	c1
across	preposition	a1
across	adverb	a1
act	noun	b1
act	verb	a2
action	noun	a1
activate	verb	b2
activation	noun	c1
active	adjective	a2
activist	noun	c1
activity	noun	a1
actor	noun	a1
actress	noun	a1
actual	adjective	b2
actually	adverb	a2
acute	adjective	c1
ad	noun	b1
adapt	verb	b2
adaptation	noun	c1
add	verb	a1
addiction	noun	b2
addition	noun	b1
additional	adjective	b2
additionally	adverb	b2
address	noun	a1
address	verb	b2
adequate	adjective	b2
adequately	adverb	b2
adhere	verb	c1
adjacent	adjective	c1
adjust	verb	b2
adjustment	noun	c1
administer	verb	c1
administration	noun	b2
administrative	adjective	c1
administrator	noun	c1
admire	verb	b1
admission	noun	c1
admit	verb	b1
adolescent	noun	c1
adopt	verb	b2
adoption	noun	c1
adult	adjective	a2
adult	noun	a1
advance	adjective	b2
advance	noun	b2
advance	verb	b2
advanced	adjective	b1
advantage	noun	a2
adventure	noun	a2
adverse	adjective	c1
advertise	verb	a2
advertisement	noun	a2
advertising	noun	a2
advice	noun	a1
advise	verb	b1
advocate	noun	c1
advocate	verb	c1
aesthetic	adjective	c1
affair	noun	b2
affect	verb	a2
affection	noun	c1
afford	verb	b1
affordable	adjective	b2
afraid	adjective	a1
after	conjunction	a2
after	preposition	a1
after	adverb	a2
aftermath	noun	c1
afternoon	noun	a1
afterwards	adverb	b2
again	adverb	a1
against	preposition	a2
age	noun	a1
age	verb	b1
aged	adjective	b1
agency	noun	b2
agenda	noun	b2
agent	noun	b1
aggression	noun	c1
aggressive	adjective	b2
ago	adverb	a1
agree	verb	a1
agreement	noun	b1
agricultural	adjective	c1
agriculture	noun	b2
ah	exclamation	a2
ahead	adverb	b1
aid	noun	b2
aid	verb	b2
aide	noun	c1
AIDS	noun	b2
aim	noun	b1
aim	verb	b1
air	noun	a1
aircraft	noun	b2
airline	noun	a2
